LMPR02010034	3-decaprenyl-4,5-dihydroxybenzoic acid	834.652610
LMPR0106200003	(+)-12-Neophoen-3beta-ol	426.386165
LMPR0104170004	Gibberellin A20	332.162375
LMPR0103190006	5alpha,10beta-sibirene	204.187800
LMPR0103060007	(E)-alpha-bisabolene	204.187800
LMPR0102090053	1beta,3alpha,4beta-p-menthane-3,8-diol	172.146330
CA00926	Trisanhydrobacterioruberin	687.06 g/mol
CA00579	Peridinin	630.79 g/mol
LMPR0106180024	3-O-acetyl-11-keto-beta-boswellic acid	512.350175
CA00444	(8R,8'S)-Auroxanthin	600.848 g/mol
LMPR0106150014	Glycyrrhetinic acid	470.339610
LMPR0103700008	(5R)-albaflavenol	220.182715
CA00232	4'-Hydroxy-γ-carotene	552.848 g/mol
LMPR0104050005	Dehydroabietic acid	300.208930
CA00558	19'-Hexanoyloxyisomytiloxanthin	712.972 g/mol
CA00801	α-Damascenone	190.274 g/mol
CA00537	Sodium (2R,2'R,3S,3'R)-2,2',3'-Trihydroxy-4-oxo-beta,beta-caroten-3-yl sulphate	717.892 g/mol
LMPR0106010044	15-cis-4,4'-Diapophytoene	408.375600
CA00968	Pyrrhoxanthin 5,8-furanoxide	612.774 g/mol
LMPR01070626	(15Z)-beta-Carotene	536.438200
LMPR0103090018	Elephantopinolide A	360.120905
LMPR0106160002	(+)-Taraxerol	426.386165
LMPR0103090004	Elephantopin	360.120905
CA00870	(6S,7E,9E,11E)-3-Oxo-13-apo-α-caroten-13-one	288.372 g/mol
LMPR0104170013	Gibberellin A6	346.141640
LMPR0106150066	Escin 1b	1130.550910
LMPR0106080015	Ginsenoside Re	946.550120
LMPR0106080008	Gypenoside S3	1076.576730
CA00473	2-Hydroxyechinenone	566.832 g/mol
LMPR0104010026	Dihydrophytol	298.323565
LMPR0103010002	Farnesyl diphosphate	382.131031
LMPR01070394	Mactraxanthin 3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoate) 3'-(9E-hexadecenoate)	1156.867020
CA00400	Cryptoxanthin 5,6-epoxide	568.848 g/mol
LMPR0102070062	Genameside B	422.142430
LMPR0104130005	ent-kaur-16-en-19-al	286.229665
CA01173	C13-spiroether theaspirone	208.29 g/mol
CA01152	Strigol	346.366 g/mol
LMPR02030037	II,III-tetrahydro-omega-(2,6,6-trimethylcyclohex-2-enylmethyl)2,3-epoxymenaquinone-6	736.579445
LMPR0103470001	2-Africananol	222.198365
CA00376	Zeaxanthin monomethyl ether	582.874 g/mol
CA00068	Bisdehydrolycopene	532.816 g/mol
LMPR01070148	Caloxanthin sulfate	664.379762
CA00143	1-Methoxy-1,2-dihydrophytofluene	574.938 g/mol
CA00208	(3R,4S)-4-Hydroxyrubixanthin	568.848 g/mol
CA00706	(9'Z)-Chlorobactene	532.816 g/mol
LMPR0105050002	Drophiobiolin A	374.282095
CA00714	Hydroxychlorobactene glucoside laurate	909.294 g/mol
CA00551	(9Z)-Astaxanthin	596.816 g/mol
CA00010	4,4'-Diapolycopen-4-al	414.604 g/mol
LMPR01080069	Glisoprenin E	770.627185
CA00672	3'-Dehydrouriolide	612.816 g/mol
LMPR0104220001	Sphaerodiene	272.250400
CA00957	Myxol 2'-dimethyl pentoside	745.014 g/mol
LMPR01070166	OH-Chlorobactene glucoside	712.470290
LMPR04000007	35-aminobacteriohopane-31,32,33,34-tetrol	561.475709
CA00144	Demethylspheroidene glucoside	717.004 g/mol
LMPR0103210001	4(15),7(11)-Oppositadien-12-al	218.167065
CA00900	Carotenonaldehyde	408.558 g/mol
CA00215	1'-Hydroxy-γ-carotene glucoside ester	787.092 g/mol
LMPR0102060009	(-)-trans-allethrin	302.188195
LMPR0103010009	2-cis,6-cis-farnesyl diphosphate	382.131031
CA00244	1',2'-Dihydro-1'-hydroxytorulene glucoside ester	785.076 g/mol
CA00857	19-Hexanoyloxyparacentrone 3-acetate	618.822 g/mol
LMPR0103160007	Herbertenone B	234.161980
LMPR0102090035	(1S,2R,4R)-Neoiso-dihydrocarveol	154.135765
LMPR0103050006	dihydrophaseic acid 4-O-beta-D-glucoside	444.199550
LMPR0106080005	Helvolic acid	568.303620
LMPR01070397	Mactraxanthin 3-palmitoleate 3'-(9E-hexadecenoate)	1108.867020
LMPR0102120039	(+)-beta-thujone	152.120115
CA00663	Siphonaxanthin octenoate	725.024 g/mol
CA00646	Amarouciaxanthin B	596.816 g/mol
LMPR0103500014	5-(1-methoxybutan-2-yl)isolongifol-5-ene	290.260965
CA00982	Cyclopyrrhoxanthin	612.774 g/mol
CA00768	Bastaxanthin E	729.86 g/mol
CA01139	(all-E)-α-retinal	284.424 g/mol
CA00488	(3R)-Adonirubin	580.816 g/mol
CA00679	Nigroxanthin	566.832 g/mol
LMPR0104240007	Clavuperoxylide B	302.224580
LMPR01070179	1,1'-(OH)2-3,4,3',4'-Tetradehydrolycopene	568.428030
LMPR0102010013	(-)-Linalool	154.135765
LMPR0104240011	Clavurol F	322.250795
LMPR01090017	9-cis-retinal	284.214015
LMPR0106090005	Meliasanine C	500.350175
LMPR0102070004	Iridotrial	182.094295
LMPR0106010070	Squalene hydroperoxy-monocyclic peroxide	474.370910
LMPR0106150063	QS-21 Apiose isomer	1988.924190
LMPR02030028	phylloquinone	450.349780
LMPR01070612	11',12'-Dihydro-gamma-zeacarotene	540.469500
LMPR01070157	Loroxanthin ester	764.574360
CA00624	Flavoxanthin	584.848 g/mol
CA00729	Isoagelaxanthin A	548.816 g/mol
CA01156	Sorgomol	346.366 g/mol
LMPR01090046	Etretinate	354.219495
CA00732	Tedanin	560.784 g/mol
LMPR01070073	4-Ketoalloxanthin	578.375995
LMPR0106150028	Bryonolic acid	456.360345
LMPR0105050006	Ophiobolin Q	400.261360
LMPR0104170010	Gibberellin A14 aldehyde	332.198760
LMPR0106110002	Quassin	388.188590
LMPR04000020	bacteriohopane-,32,33,34-triol-35-(N-(9-cyclohexyl-nonanoyl))-glucosamine	929.731984
LMPR0104330014	Stelleracin D	654.340400
CA00013	4,4'-Diapolycopenedial	428.588 g/mol
LMPR0106080018	Ginsenoside Rh2	622.444471
LMPR01090018	13-cis-retinal	284.214015
CA00849	F348	412.59 g/mol
LMPR0103010007	2E,6Z-farnesal	220.182715
LMPR0103190009	(5xi,7xi,10xi)-eudesma-4(14),11-diene	204.187800
CA00260	Rubixanthone	566.832 g/mol
CA00595	α-Isocryptoxanthin	552.848 g/mol
LMPR0105020002	C25:1 Monocyclic highly branched isoprenoid	348.375600
LMPR01030049	Macrophyllic acid E	250.156895
CA00181	Hydroxydemethylspheroidenone	586.864 g/mol
LMPR01090020	All-Trans-3,4-Didehydro-Retinoic acid	298.193280
LMPR0104350003	fusicocca-2,10(14)-diene	272.250400
LMPR01090044	(11Z)-8,18-methano-retinal	296.214015
LMPR0103110001	Humulene	204.187800
LMPR0106150058	Recurvataside	780.465995
CA00988	Dihydroxylycopene diglucoside diester	1037.336 g/mol
LMPR0104010003	trans,trans,cis-Geranylgeranyl diphosphate	450.193631
LMPR0102090029	Thymol	150.104465
LMPR0102090026	alpha-Terpinene	136.125200
CA00505	Xipholenin	596.858 g/mol
LMPR0102070063	Genameside C	550.189775
LMPR01080062	Neodidymellioic acid D	768.611535
LMPR02010005	Coenzyme Q8	726.558710
LMPR0104170022	Gibberellin A51	332.162375
LMPR0103700001	(+)-Prezizene	204.187800
CA01228	(5R,6S,5'R)-Sapotexanthin 5,6-epoxide	568.84 g/mol
LMPR01070312	Fucoxanthinol 3-linolenate	876.626790
CA00088	Dihydroxylycopene	572.88 g/mol
CA00571	Hurghadin	568.764 g/mol
CA00410	Mutatoxanthin	584.848 g/mol
LMPR0102010017	(R)-lavandulyl diphosphate	314.068431
CA00704	Chlorobactene	532.816 g/mol
LMPR0104050006	abietol	288.245315
CA00779	Synechoxanthin	616.804 g/mol
CA00121	3,4,3',4'-Tetradehydrorhodopin	550.832 g/mol
LMPR0102060004	jasmolin I	330.219495
LMPR03020006	all-trans-Undecaprenyl phosphate	846.665498
CA01011	6-methyl-5-hepten-2-one	126.192 g/mol
CA00425	5,6-Diepilatoxanthin	618.864 g/mol
LMPR01071055	Roretziaxanthin	578.375995
LMPR0104170030	Gibberellin A44	346.178025
CA00368	Ophioxanthin	788.01 g/mol
CA00507	Idoxanthin	598.832 g/mol
CA00007	4,4'-Diapophytofluene	406.668 g/mol
CA00206	Plectaniaxanthin	568.848 g/mol
CA00907	2-Isopentenyl-3,4-dehydrorhodopin	620.962 g/mol
LMPR0106150039	Salaspermic acid	472.355260
LMPR0103760002	(-)-Isocomene	204.187800
CA00398	(5S,6R)-β-Carotene 5,6-epoxide	552.848 g/mol
LMPR0103790001	Suberosanone	220.182715
LMPR0102120043	1,2-campholide	168.115030
CA00106	Lycopanerols A	1366.36 g/mol
CA01022	Annuionone D	224.29 g/mol
LMPR0104080004	ent-pimara-8(14),15-diene	272.250400
LMPR01070375	Mactraxanthin 3-palmitoleate 3'-palmitate	1110.882670
LMPR0102120001	(+)-Camphor	152.120115
CA00031	4,4-(D-Glucopyranosyloxy)-4,4'-diapolycopene-4,4'-dioic acid diester	899.008 g/mol
LMPR0103090011	(1Z,4Z)-germacrene B	204.187800
LMPR0103610003	Alcyopterosin A	236.133178
LMPR0104010040	Phytyl 2-O-methyl-dimethylarsinoylribose	546.326546
LMPR01070323	Fucoxanthinol 3-(9E-hexadecenoate)	852.626790
CA00225	9',10'-Dihydro-β-zeacarotene-3,17'-diol	572.88 g/mol
LMPR0102120006	Sabinene hydrate	154.135765
CA00142	3',4'-Dihydrorhodovibrin	586.906 g/mol
CA00382	3,5,6,3'-Tetrahydroxy-beta-carotene	602.864 g/mol
LMPR0103610010	Alcyopterosin N	232.146330
CA00742	4-Ketocapsanthin	598.832 g/mol
LMPR0102060011	(-)-trans-(S)-allethrin	302.188195
LMPR04000036	Hopane-6alpha,22-diol	444.396730
LMPR0103670005	Laurencenone C	218.167065
LMPR01030043	Himachalane-3-en-6-ol	222.198365
CA00517	19'-Hydroxyfucoxanthinol	632.848 g/mol
LMPR01070162	1',2'-Dihydro-gamma-carotene	538.453850
LMPR01090019	Retinoic Acid	300.208930
LMPR03020001	undecaprenyl phosphate	846.665498
LMPR01070398	Lycopadiene	558.610350
LMPR0102060020	(-)-cis-sabinol	152.120115
LMPR0104240003	(-)-Stolondiol	336.230060
LMPR02020055	beta-tocotrienol	410.318480
CA00460	2-Keto-3,4-dehydro-β-carotene	548.816 g/mol
CA00393	Thermobiszeaxanthin-15-15	1341.876 g/mol
LMPR0104240012	Clavufuranolide A	304.240230
LMPR0103440001	alpha-Cubebene	204.187800
LMPR0103780001	(-)-Modhephene	204.187800
LMPR0102010010	Nerol	154.135765
LMPR01020139	Secoxyloganin	404.131865
LMPR0104450004	Dysokusone E	302.224580
CA00466	Rhodoxanthin	562.8 g/mol
LMPR02030001	Vitamin K2	580.428030
LMPR01070976	3-Keto-3'-hydroxy-epsilon-carotene	566.412380
LMPR01090061	(11Z)-3R-Hydroxyretinal	300.208930
CA00409	Cucurbitaxanthin A	584.848 g/mol
CA00079	Lycophyll	568.848 g/mol
CA00574	Ceratoxanthin	570.864 g/mol
CA01219	Apo-12'-lycopenal	350.522 g/mol
LMPR01070022	Bisdehydro-beta-carotene	532.406900
CA01087	Nor-peridinin1	630.79 g/mol
LMPR01090011	13-cis-retinol	286.229665
LMPR01040141	Novaxenicin B	366.204240
CA00421	Auroxanthin	600.848 g/mol
CA00817	β-Micropteroxanthin	396.59 g/mol
CA00623	2-Hydroxy-α-carotene 5,6-epoxide	568.848 g/mol
CA00250	2-Hydroxy-1',2'-dihydrotorulene 1',2'-oxide	566.832 g/mol
LMPR0103110004	(1Z,6E)-gamma-humulene	204.187800
LMPR01070346	Fucoxanthinol 3-stearidonate 3'-palmitate	1112.840805
LMPR0104420003	Isoxeniaphyllenol	288.245315
CA00428	Peridinine 5,8-furanoside	630.79 g/mol
LMPR01040134	Rebaudioside H	1112.488705
CA00794	1-Hexosyl-1,2-dihydro-3,4-didehydroapo-8'-lycopenol	596.776 g/mol
LMPR01070932	3,4-Diketo-alpha-carotene	564.396730
LMPR0106180006	Taraxasterol	426.386165
LMFA07010911	ingenol mebutate	430.235540
LMPR04000018	bacteriohopanetetrol cyclitol	707.533619
CA00405	Diadinoxanthin B	582.832 g/mol
LMPR0103090015	Isoonopordopicrin	348.157290
LMPR0103740002	pentalenene	204.187800
LMPR0106150052	Arenaroside C	1178.572040
LMPR0104010004	Phytanic acid	312.302830
LMPR0106140007	lup-20(29)-en-3beta-(1-(2S-hydroxypropionate)-benzoic acid	618.428425
LMPR0104100004	(-)-Cleistanthol	316.203845
LMPR01070413	Asymmetric 9Z-zeta-carotene	540.469500
LMPR0106050014	NA	540.272320
LMPR0103050012	(R)-2-trans-abscisic acid	264.136160
CA00040	Methyl (9Z)-6'-oxo-6,6'-diapocaroten-6-oate	380.506 g/mol
LMPR01090025	all-trans-4-hydroxyretinoic acid	316.203845
CA00782	Renieracistene	528.784 g/mol
LMPR0103090039	Elephantin	374.136555
LMPR0104080006	9beta-pimara-7,15-diene	272.250400
LMPR0103480002	Himachalane-2-en-6-ol	222.198365
LMPR0102060002	(+)-cis-chrysanthemic acid	168.115030
CA00431	Pittosporumxanthin B	1013.522 g/mol
LMPR01070296	9,9',15-tri-cis-zeta-carotene	540.469500
LMPR0104050010	dehydroabietadienol	286.229665
CA01215	7,8-Dihydro-3',4'-Dehydro-Rhodopin glucoside ester	787.092 g/mol
LMPR0106150046	NA	828.450740
LMPR0106150029	NA	454.344695
CA00580	2-nor-Astaxanthin-diester	582.79 g/mol
CA00413	Peridininol 5,8-furanooxide	588.754 g/mol
LMPR01070339	Fucoxanthinol 3-heptadecanoate 3'-palmitoleate	1104.872105
CA00252	Ternstroemiaxanthin	566.832 g/mol
CA00194	β-Zeacarotene	538.864 g/mol
LMPR0106080006	Gypenoside S1	1106.587295
CA00611	5,6-Dihydroxy-5,6-dihydrolutein	602.864 g/mol
LMPR01060036	3-O-alpha-L-arabinosyl oleanolic acid	588.402605
LMPR03020004	Dodecaprenyl phosphate-galacturonic acid	1090.760188
CA00133	3,4-Dihydroanhydrorhodovibrin	568.89 g/mol
CA00424	Vaucheriaxanthin	616.848 g/mol
LMPR0103440002	beta-Cubebene	204.187800
CA01057	(2'S)-Deoxymyxol 2'-(2,4-di-O-methyl-alpha-L-fucoside)	743.04 g/mol
LMPR0103370009	Ustusolate F	416.183505
LMPR0106170001	alpha-Amyrin	426.386165
LMPR01070611	Dihydro-gamma,psi-carotene	538.453850
CA00245	Phleixanthophyll palmitate	985.388 g/mol
CA00196	Retrodehydro-γ-carotene	534.832 g/mol
LMPR0103090021	Elephantopinolide C	360.120905
CA00786	Capsorubone	596.816 g/mol
LMPR02010032	2-decaprenyl-6-methoxy-3-methyl-1,4-benzoquinone	832.673345
CA00861	15-Hydroxy-7',8',9',10',11',12',13',14'-octahydro-6'-apo-beta-caroten-7'-one	482.72 g/mol
LMPR0103010023	farnesyl triphosphate	462.097364
LMPR01090026	all-trans-4-oxoretinoic acid	314.188195
CA00901	Crocin 3	652.672 g/mol
LMPR0104210004	(-)-Asbestinine 2	476.313790
LMPR0106200006	(+)-Filicenal	426.386165
LMPR01040130	Rebaudioside L	1128.483620
LMPR0102070007	Catalpol	362.121300
LMPR0104240017	Clavirolide B	316.203845
CA01080	(3S,5R,6S,3'S,5'R)-3,6-Epoxy-5,3',8'-triihydroxy-beta,kappa-caroten-6'-one	616.848 g/mol
CA00846	Apo-10'-zeaxanthinal	392.558 g/mol
LMPR0103450001	Patchoula-2,4-diene	202.172150
CA00059	(9Z,15Z)-Phytofluene	542.896 g/mol
LMPR0103480005	beta-himachalene	204.187800
CA00257	3-Hydroxy-4-keto-γ-carotene	566.832 g/mol
CA00805	Blumenol A	224.29 g/mol
LMPR0105010002	C25:2 6,7-Epoxy highly branched isoprenoid	362.354865
LMPR0104210006	Sclerophytin A	338.245710
CA00139	3,4,3',4',7',8',11',12'-Octahydrospirilloxanthin	604.964 g/mol
LMPR01070897	alpha-Cryptoxanthin	552.433115
CA00733	Thorexanthin	576.826 g/mol
LMPR0106150041	Cincholic acid	486.334525
LMPR0104240016	Clavulactone	316.203845
LMPR0104180002	Isograyanotoxin II	352.224975
CA00708	(13Z)-Chlorobactene	532.816 g/mol
LMPR01070180	1,1'-(OH)2-3,4-Didehydrolycopene	570.443680
LMPR0104100006	Ovoideal E	316.203845
LMPR01090037	8-18 bonded retinal	282.198365
CA00858	9'-Hydroxy-9'-apo-beta-caroten-3-one	418.594 g/mol
CA01015	Dehydrovomifoliol	224.29 g/mol
CA01071	(9S)-9-Apo-7,8-dihydro-9-hydroxy-beta-caroten-4-one	210.306 g/mol
LMPR0102070055	dihydrovaltrate	382.162770
CA01050	Cucumariaxanthins C	598.916 g/mol
LMPR01070258	alpha-Carotene	536.438200
LMPR0103100002	Kissoones A	218.167065
LMPR01040127	Rebaudioside D	1128.483620
CA00207	(3R,4R)-4-Hydroxyrubixanthin	568.848 g/mol
CA00132	1-Hydroxy-1,2-dihydrophytofluene	560.912 g/mol
LMPR01070313	Fucoxanthinol 3-stearidonate	874.611140
LMPR0103770001	beta-Panasinsane	204.187800
LMPR0104170015	Gibberellin A14	348.193675
LMPR0104040009	NA	302.188195
CA00532	2,2'-Dihydroxycanthaxanthin	596.816 g/mol
CA00243	Myxobactone ester	799.06 g/mol
LMPR01070358	Fucoxanthinol 3-linoleate 3'-gondoate	1170.919055
CA01063	(3S)-3-Hydroxycyclocitral	168.228 g/mol
CA01225	Loliolide	196.238 g/mol
LMPR0103060013	(S)-beta-bisabolene	204.187800
LMPR0103550002	(+)-Trans-4(11),8-aucadiene	204.187800
LMPR0104370001	Spatol	318.219495
LMPR01070097	3S-Hydroxyechinenone	566.412380
LMPR0103160010	Herbertene	202.172150
LMPR0103480006	(S)-beta-himachalene	204.187800
LMPR0102080001	NA	150.104465
CA00019	Glucopyranosyl-1-O-(4,4'-diapo-7',8',11',12'-tetrahydrolycopen-4-oate)-6-O-(2-methylbutanoate)	680.89 g/mol
CA00022	β-D-glucosyl 4,4'-diaponeurosporenoic acid	594.76 g/mol
CA00387	Thermocryptoxanthin-15	939.362 g/mol
CA00351	Karpoxanthin	602.864 g/mol
LMPR0102070038	2'-O-cis-coumaroylgardoside	520.158080
LMFA07010774	Acevaltrate	480.199550
LMPR01070979	3,3'-Diketo-epsilon-carotene	564.396730
LMPR01070648	Parasiloxanthin	570.443680
CA00503	(3'R)-2,3'-Dihydroxycanthaxanthin	596.816 g/mol
LMPR0103480008	(1S,6S)-gamma-himachalene	204.187800
CA00177	P 500	614.916 g/mol
LMPR01040122	steviolbioside	642.325145
LMPR01070568	(3R)-3-Hydroxy-4-keto-gamma-carotene	566.412380
LMPR03080014	dolichyl beta-D-glucosyl phosphate	602.358373
CA00036	4'-(beta-D-Glucopyranosyloxy)-7',8'-dihydro-4,4'-diapo-psi,psi-caroten-4-oic acid	608.744 g/mol
LMPR0104030020	Haterumaimide B	415.131715
CA00930	C.p.460	707.092 g/mol
LMPR0103540013	Austrobuxusin K	412.173335
CA01044	all-trans-13,14-Dihydroretinol	288.456 g/mol
LMPR0103600003	(+)-2-Sterpurene-6,12,15-triol	252.172545
LMPR0103680001	(-)-Spirolepechinene	204.187800
CA01212	Monohydroxylycopene	552.848 g/mol
LMPR01070305	Fucoxanthinol 3-palmitate	854.642440
LMPR0104210005	Clakrefielin A	422.266840
CA00601	(9Z,9'Z)-Lutein	568.848 g/mol
LMPR0105040001	(+)-Dysideapalaunic acid	372.302830
LMPR0102060015	(-)-cis-allethrin	302.188195
CA00046	1,2-Dihydrolycopene	538.864 g/mol
LMPR0102090064	6-oxocineole	168.115030
CA00356	Neoflor	618.864 g/mol
LMPR02010031	2-decaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone	848.668260
LMPR01070153	Ketospirilloxanthin	610.438595
LMPR0104430001	Viscida-4,11(18),14-triene	272.250400
CA00731	Aaptopurpurin	562.842 g/mol
CA00184	Ketohydroxylycopene	566.832 g/mol
LMPR0103160013	Mastigophorene C	466.308310
LMPR01070528	Beta-Zeacarotene-3,17'-diol	570.443680
CA01205	Apo-14,8'-diapo-carotenedial	190.232 g/mol
CA00697	(6R,6'R)-3,3'-Diketo-ε-carotene	564.816 g/mol
CA00802	γ-Damascenone	190.274 g/mol
LMPR0106150015	beta-Amyrin	426.386165
LMPR01070205	6'-Hydroxysiphonaxanthin ester	796.564190
LMPR0103340001	Alliacol A	264.136160
CA00565	2,3,2'-Trihydroxy-4-keto-beta-carotene	598.832 g/mol
CA00613	4-Hydroxy-α-carotene	552.848 g/mol
LMPR0103350001	3beta-Acetoxy-4-oplopanone	296.198760
CA00302	3-Hydroxy-δ-carotene	552.848 g/mol
LMPR0102060013	(+)-cis-(S)-allethrin	302.188195
CA00014	4,4'-Diapocarotenoic acid	430.604 g/mol
LMPR01070266	delta-Carotene	536.438200
LMPR0104330002	phorbol 13-acetate 12-myristate	616.397520
CA00914	2-(4-Hydroxy-3-methylbut-2-enyl)-beta,beta-carotene	620.962 g/mol
CA01073	Heteranthin	394.532 g/mol
LMPR0103610007	Alcyopterosin C	277.131409
CA01025	Tobiraxanthin A1	1053.544 g/mol
LMPR0104410001	Sinulobatin A	342.219495
LMPR01070393	Mactraxanthin 3-gondoate 3'-palmitoleate	1164.929620
CA00353	5,6-Diepikarpoxanthin	602.864 g/mol
CA00165	Spheroidenone	582.874 g/mol
CA00342	5-Hydroxyeschscholtzxanthin	584.848 g/mol
LMPR0104490001	(+-)-Trihydroxy-decipiadiene	320.235145
LMPR0106040015	9,11-Anhydro Fusidic Acid	498.334525
CA00465	Didehydro-2,2'-diketo-β-carotene	562.8 g/mol
LMPR01070391	Mactraxanthin 3-linoleate 3'-dipalmitoleate	1134.882670
LMPR01060034	NA	458.339610
CA01166	(E,E)-Megastigma-4,6,8-triene	176.29 g/mol
LMPR0102120030	bornane-2,3-dione	166.099380
CA00058	(all-E)-Phytofluene	542.896 g/mol
LMPR0104170012	Gibberellin A29-catabolite	346.141640
CA00666	Siphonaxanthin dodecenoate	781.128 g/mol
LMPR0103600001	(+)-2-Sterpurene	204.187800
LMPR0104310001	7beta-Hydroxy-lathyrol	334.214410
LMPR02030031	2,3-epoxyphylloquinone	466.344695
CA00651	Muricellaxanthin	672.868 g/mol
CA00388	Thermozeaxanthin-15	955.362 g/mol
LMPR0106180032	Salvurmin A	470.339610
LMPR0104190001	Neocembrene	272.250400
LMPR0106180017	Chletric acid	518.360740
